Index,LNP_ID,Experiment_ID,Formulation_ID,IL_name,IL_SMILES,IL_protonated_SMILES,IL_head_name,IL_head_SMILES,IL_linker_name,IL_linker_SMILES,IL_tail1_name,IL_tail1_SMILES,IL_tail2_name,IL_tail2_SMILES,IL_tail3_name,IL_tail3_SMILES,IL_tail4_name,IL_tail4_SMILES,IL_molratio,IL_to_nucleicacid_massratio,IL_to_nucleicacid_chargeratio,HL_name,HL_SMILES,HL_molratio,CHL_name,CHL_SMILES,CHL_molratio,PEG_name,PEG_SMILES,PEG_molratio,fifthcomponent_name,fifthcomponent_SMILES,fifthcomponent_molratio,Aqueous_buffer,Dialysis_buffer,Mixing_method,Model,Model_type,Model_target,Route_of_administration,Cargo,Cargo_type,Dose_ug_nucleicacid,Experiment_method,Experiment_batching,Experiment_value,Publication_link,Publication_PMID,Heavy.Atoms,Rings,Aromatic.Rings,Rotatable.Bonds,van.der.Waals.Molecular.Volume,Topological.Polar.Surface.Area,Hydrogen.Bond.Donors,Hydrogen.Bond.Acceptors,LogP,Molar.Refractivity,Fraction.sp3.Carbons,sp3.Carbons,Nitrogen.Count,Molecular.Weight,has_ester,has_carbonate,has_disulfide,Experiment_value_num
1,LNP_0000001,AA_2008,AA_2008_F1,87_O15,CCCCCCCCCCCCCCCOC(=O)CCN(CCCN(CCO)CCO)CCC(=O)OCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCOC(=O)CCN(CCC[N+](CCO)(CCO)[H])CCC(=O)OCCCCCCCCCCCCCCC,87,C(CN)CN(CCO)CCO,,,O15,C=CC(=O)OCCCCCCCCCCCCCCC,,,,,,,42.0,5.0,,,,0.0,Cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,48.0,DMG-PEG2000,O=C(CCCCCCCCCCCCC)OCC(OC(CCCCCCCCCCCCC)=O)COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC,10.0,,,0.0,acetate,,handmixed,in_vitro,HeLa,in_vitro,in_vitro,siRNA,FLuc,0.9,luminescence_discretized_normalized,individual,5.468071128,https://www.nature.com/articles/nbt1402,18438401.0,51,0,0,42,726.6485885,99.54,2,8,10.0141,214.2106,0.953488372,0,2,727.169,True,False,False,5.468071128
2,LNP_0000002,AA_2008,AA_2008_F2,96_N12,CCCCCCCCCCCCNC(=O)CCN(C)CCCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,CCCCCCCCCCCCNC(=O)CC[N+](C)(CCCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC)[H],96,CNCCCN,,,N12,C=CC(=O)NCCCCCCCCCCCC,,,,,,,42.0,5.0,,,,0.0,Cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,48.0,DMG-PEG2000,O=C(CCCCCCCCCCCCC)OCC(OC(CCCCCCCCCCCCC)=O)COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC,10.0,,,0.0,acetate,,handmixed,in_vitro,HeLa,in_vitro,in_vitro,siRNA,FLuc,0.9,luminescence_discretized_normalized,individual,5.468071128,https://www.nature.com/articles/nbt1402,18438401.0,57,0,0,46,805.774792,93.78,3,5,11.8919,246.9661,0.93877551,0,5,806.363,False,False,False,5.468071128
3,LNP_0000003,AA_2008,AA_2008_F3,98_N12,CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CC[N+](CCC(=O)NCCCCCCCCCCCC)(CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC)[H],98,C(CNCCNCCN)N,,,N12,C=CC(=O)NCCCCCCCCCCCC,,,,,,,42.0,5.0,,,,0.0,Cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,48.0,DMG-PEG2000,O=C(CCCCCCCCCCCCC)OCC(OC(CCCCCCCCCCCCC)=O)COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC,10.0,,,0.0,acetate,,handmixed,in_vitro,HeLa,in_vitro,in_vitro,siRNA,FLuc,0.9,luminescence_discretized_normalized,individual,5.468071128,https://www.nature.com/articles/nbt1402,18438401.0,112,0,0,93,1581.502634,187.56,6,10,22.7576,482.5842,0.9375,0,10,1582.656,False,False,False,5.468071128
4,LNP_0000004,AA_2008,AA_2008_F4,64_N15,CCCCCCCCCCCCCCCNC(=O)CCN(CC)CCCN(CC)CCC(=O)NCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCNC(=O)CC[N+](CC)(CCCN(CC)CCC(=O)NCCCCCCCCCCCCCCC)[H],64,CCNCCCNCC,,,N15,C=CC(=O)NCCCCCCCCCCCCCCC,,,,,,,42.0,5.0,,,,0.0,Cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,48.0,DMG-PEG2000,O=C(CCCCCCCCCCCCC)OCC(OC(CCCCCCCCCCCCC)=O)COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC,10.0,,,0.0,acetate,,handmixed,in_vitro,HeLa,in_vitro,in_vitro,siRNA,FLuc,0.9,luminescence_discretized_normalized,individual,5.468071128,https://www.nature.com/articles/nbt1402,18438401.0,49,0,0,40,692.6907281,64.68,2,4,11.2153,215.4884,0.953488372,0,4,693.203,False,False,False,5.468071128
5,LNP_0000005,AA_2008,AA_2008_F5,64_N16,CCCCCCCCCCCCCCCCNC(=O)CCN(CC)CCCN(CC)CCC(=O)NCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCNC(=O)CC[N+](CC)(CCCN(CC)CCC(=O)NCCCCCCCCCCCCCCCC)[H],64,CCNCCCNCC,,,N16,C=CC(=O)NCCCCCCCCCCCCCCCC,,,,,,,42.0,5.0,,,,0.0,Cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,48.0,DMG-PEG2000,O=C(CCCCCCCCCCCCC)OCC(OC(CCCCCCCCCCCCC)=O)COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC,10.0,,,0.0,acetate,,handmixed,in_vitro,HeLa,in_vitro,in_vitro,siRNA,FLuc,0.9,luminescence_discretized_normalized,individual,5.468071128,https://www.nature.com/articles/nbt1402,18438401.0,51,0,0,42,720.7220282,64.68,2,4,11.9955,224.7224,0.955555556,0,4,721.257,False,False,False,5.468071128
6,LNP_0000006,AA_2008,AA_2008_F6,26_O14,CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(C)(CO)CO,CCCCCCCCCCCCCCOC(=O)CC[N+](CCC(=O)OCCCCCCCCCCCCCC)(C(C)(CO)CO)[H],26,CC(CO)(CO)N,,,O14,C=CC(=O)OCCCCCCCCCCCCCC,,,,,,,42.0,5.0,,,,0.0,Cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,48.0,DMG-PEG2000,O=C(CCCCCCCCCCCCC)OCC(OC(CCCCCCCCCCCCC)=O)COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC,10.0,,,0.0,acetate,,handmixed,in_vitro,HeLa,in_vitro,in_vitro,siRNA,FLuc,0.9,luminescence_discretized_normalized,individual,4.009331809,https://www.nature.com/articles/nbt1402,18438401.0,45,0,0,35,641.5594391,96.3,2,7,9.3005,187.4576,0.947368421,0,1,642.019,True,False,False,4.009331809
7,LNP_0000007,AA_2008,AA_2008_F7,32_N12,CCCCCCCCCCCCNC(=O)CCN(CCCCCO)CCC(=O)NCCCCCCCCCCCC,CCCCCCCCCCCCNC(=O)CC[N+](CCCCCO)(CCC(=O)NCCCCCCCCCCCC)[H],32,C(CCN)CCO,,,N12,C=CC(=O)NCCCCCCCCCCCC,,,,,,,42.0,5.0,,,,0.0,Cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,48.0,DMG-PEG2000,O=C(CCCCCCCCCCCCC)OCC(OC(CCCCCCCCCCCCC)=O)COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC,10.0,,,0.0,acetate,,handmixed,in_vitro,HeLa,in_vitro,in_vitro,siRNA,FLuc,0.9,luminescence_discretized_normalized,individual,4.009331809,https://www.nature.com/articles/nbt1402,18438401.0,41,0,0,33,581.5495431,81.67,3,4,8.3054,176.3182,0.942857143,0,3,581.971,False,False,False,4.009331809
8,LNP_0000008,AA_2008,AA_2008_F8,95_N12,CCCCCCCCCCCCNC(=O)CCN(C)CCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,CCCCCCCCCCCCNC(=O)CC[N+](C)(CCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC)[H],95,C[N]CCN,,,N12,C=CC(=O)NCCCCCCCCCCCC,,,,,,,42.0,5.0,,,,0.0,Cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,48.0,DMG-PEG2000,O=C(CCCCCCCCCCCCC)OCC(OC(CCCCCCCCCCCCC)=O)COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC,10.0,,,0.0,acetate,,handmixed,in_vitro,HeLa,in_vitro,in_vitro,siRNA,FLuc,0.9,luminescence_discretized_normalized,individual,4.009331809,https://www.nature.com/articles/nbt1402,18438401.0,56,0,0,45,791.759142,93.78,3,5,11.5018,242.3491,0.9375,0,5,792.336,False,False,False,4.009331809
9,LNP_0000009,AA_2008,AA_2008_F9,99_N12,CCCCCCCCCCCCNC(=O)CCN(CCC(=O)NCCCCCCCCCCCC)CCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,CCCCCCCCCCCCNC(=O)CC[N+](CCC(=O)NCCCCCCCCCCCC)(CCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC)[H],99,C(CN)N,,,N12,C=CC(=O)NCCCCCCCCCCCC,,,,,,,42.0,5.0,,,,0.0,Cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,48.0,DMG-PEG2000,O=C(CCCCCCCCCCCCC)OCC(OC(CCCCCCCCCCCCC)=O)COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC,10.0,,,0.0,acetate,,handmixed,in_vitro,HeLa,in_vitro,in_vitro,siRNA,FLuc,0.9,luminescence_discretized_normalized,individual,4.009331809,https://www.nature.com/articles/nbt1402,18438401.0,72,0,0,59,1016.968406,122.88,4,6,15.2992,310.7628,0.935483871,0,6,1017.712,False,False,False,4.009331809
10,LNP_0000010,AA_2008,AA_2008_F10,100_N12,CCCCCCCCCCCCNC(=O)CCN(CCCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC,CCCCCCCCCCCCNC(=O)CC[N+](CCCN(CCC(=O)NCCCCCCCCCCCC)CCC(=O)NCCCCCCCCCCCC)(CCC(=O)NCCCCCCCCCCCC)[H],100,C(CN)CN,,,N12,C=CC(=O)NCCCCCCCCCCCC,,,,,,,42.0,5.0,,,,0.0,Cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,48.0,DMG-PEG2000,O=C(CCCCCCCCCCCCC)OCC(OC(CCCCCCCCCCCCC)=O)COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC,10.0,,,0.0,acetate,,handmixed,in_vitro,HeLa,in_vitro,in_vitro,siRNA,FLuc,0.9,luminescence_discretized_normalized,individual,4.009331809,https://www.nature.com/articles/nbt1402,18438401.0,73,0,0,60,1030.984057,122.88,4,6,15.6893,315.3798,0.936507937,0,6,1031.739,False,False,False,4.009331809
