excluded_paper_doi,remaining_complete_formulations,remaining_potent_formulations,remaining_potent_failing,pct_potent_failing
https://doi.org/10.1038/s41587-019-0247-3,62,38,17,44.73684210526316
10.1002/jbm.a.37705,97,56,35,62.5
https://doi.org/10.1248/cpb.c24-00089,100,57,36,63.1578947368421
10.1002/anie.201809056,101,58,37,63.793103448275865
https://doi.org/10.1016/j.jconrel.2025.01.071,101,58,37,63.793103448275865
10.1021/acs.nanolett.5b02497,103,59,38,64.40677966101696
https://doi.org/10.1038/s41467-020-16248-y,103,59,38,64.40677966101696
10.1126/sciadv.abf4398,103,59,39,66.10169491525424
10.1126/sciadv.abc2315,104,59,39,66.10169491525424
10.1002/btm2.10580,97,57,39,68.42105263157895
https://doi.org/10.34133/bmr.0017,100,57,39,68.42105263157895
https://dx.doi.org/10.1021/acs.nanolett.0c01386,100,57,39,68.42105263157895
https://doi.org/10.1016/j.ymthe.2018.03.010,100,56,39,69.64285714285714
10.1021/jacs.2c12893,94,50,35,70.0
