lnp_id,paper_doi,paper_title,transfection_pctile,size_mean,pdi_mean,ee_mean,category_primary,4D_penalty_50_150,4D_penalty_60_150_primary,4D_penalty_60_200,3D_in_band_50_150,3D_in_band_60_150_primary,3D_in_band_60_200,n_scenarios_selected,selected_in_primary_4d,selected_in_primary_in_band_3d
117,https://doi.org/10.1016/j.ymthe.2018.03.010,A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,0.6,86.2,0.04,97.5,Potent + Developable,True,True,True,True,True,True,6,True,True
446,10.1002/anie.201809056,Customizable Lipid Nanoparticle Materials for the Delivery of siRNAs and mRNAs,1.0,59.0,0.041,99.0,Potent only,True,True,True,True,False,False,4,True,False
513,https://doi.org/10.34133/bmr.0017,Development of Lipid Nanoparticle Formulation for the Repeated Administration of mRNA Therapeutics,1.0,78.37,0.074,89.5,Potent + Developable,False,True,True,False,True,True,4,True,True
1089,https://dx.doi.org/10.1021/acs.nanolett.0c01386,Deconvoluting Lipid Nanoparticle Structure for Messenger RNA Delivery,1.0,90.0,0.08,92.0,Potent + Developable,False,True,True,False,True,True,4,True,True
122,https://doi.org/10.1016/j.ymthe.2018.03.010,A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,1.0,69.6,0.14,98.3,Potent + Developable,False,True,True,False,True,True,4,True,True
116,https://doi.org/10.1016/j.ymthe.2018.03.010,A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,0.6,73.1,0.07,97.6,Potent + Developable,False,True,True,False,True,True,4,True,True
435,10.1002/anie.201809056,Customizable Lipid Nanoparticle Materials for the Delivery of siRNAs and mRNAs,0.375,96.0,0.046,99.0,Developable only,False,True,True,False,True,True,4,True,True
935,https://doi.org/10.1248/cpb.c24-00089,Understanding the Manufacturing Process of Lipid Nanoparticles for mRNA Delivery Using Machine Learning,0.9,200.0,0.058,97.0,Potent only,False,False,True,False,False,True,2,False,False
509,https://doi.org/10.34133/bmr.0017,Development of Lipid Nanoparticle Formulation for the Repeated Administration of mRNA Therapeutics,0.8,71.48,0.106,92.3,Potent + Developable,False,True,False,False,True,False,2,True,True
625,10.1021/jacs.2c12893,Ionizable Lipid Nanoparticles for In Vivo mRNA Delivery to the Placenta during Pregnancy,1.0,93.44,0.16,94.86,Potent + Developable,False,False,False,False,False,False,0,False,False
