lnp_id,paper_doi,paper_title,lipid_molar_ratio,ionizable_lipid,helper_lipid,sterol_lipid,peg_lipid,mol_pct_ionizable,mol_pct_helper,mol_pct_sterol,mol_pct_peg,ratio_sum,ratio_sum_deviation_from_100,parse_method,parse_confidence,ratio_values_complete,ratio_values_nonnegative,ratio_values_at_most_100,ratio_sum_near_100,ratio_model_eligible,ratio_review_needed
1,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,60:20:19.5:0.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,60.0,20.0,19.5,0.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
2,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
3,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
4,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
5,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
6,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
7,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
8,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
9,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
10,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
11,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
12,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
