endpoint,endpoint_column,model_id,model_label,feature_set,fold,n_train,n_test,n_train_studies,n_test_studies,selected_ridge_alpha,mae,rmse,r2,spearman_rho
transfection,transfection_pctile,baseline_mean,Mean baseline,none,1,85,34,14,1,,0.19767441860465115,0.22963431299982554,-0.014085267226090936,
transfection,transfection_pctile,baseline_mean,Mean baseline,none,2,90,29,14,1,,0.23330381805221426,0.2728288060976943,-0.036573003275516935,
transfection,transfection_pctile,baseline_mean,Mean baseline,none,3,100,19,12,3,,0.22816707466340272,0.28290911841849403,-0.005766023582506108,
transfection,transfection_pctile,baseline_mean,Mean baseline,none,4,100,19,10,5,,0.23532249956286064,0.26632564190361263,-0.002695837932569667,
transfection,transfection_pctile,baseline_mean,Mean baseline,none,5,101,18,10,5,,0.23530585616701208,0.2642597033012779,-0.0216927617298297,
transfection,transfection_pctile,ridge_composition,Ridge: composition,composition,1,85,34,14,1,100.0,0.19221234390167732,0.22326127002107107,0.041421487956282976,0.6501862779362726
transfection,transfection_pctile,ridge_composition,Ridge: composition,composition,2,90,29,14,1,10.0,0.251160627657212,0.3023371654633616,-0.2729241406723668,
transfection,transfection_pctile,ridge_composition,Ridge: composition,composition,3,100,19,12,3,100.0,0.22858018361056223,0.27715423918066096,0.0347359740512182,-0.058452726089438634
transfection,transfection_pctile,ridge_composition,Ridge: composition,composition,4,100,19,10,5,30.0,0.23986489524775065,0.26818982609623226,-0.016781989136759545,0.06525567160438078
transfection,transfection_pctile,ridge_composition,Ridge: composition,composition,5,101,18,10,5,100.0,0.22160502456823408,0.2616634879001387,-0.00171616629668625,0.04400985931285282
transfection,transfection_pctile,rf_composition,RF: composition,composition,1,85,34,14,1,,0.21009574629651936,0.2457384415467103,-0.161307168873712,-0.5851786013810885
transfection,transfection_pctile,rf_composition,RF: composition,composition,2,90,29,14,1,,0.25063684130133174,0.3015593751056152,-0.2663831347045831,
transfection,transfection_pctile,rf_composition,RF: composition,composition,3,100,19,12,3,,0.2143417268816639,0.2650128956053537,0.11745454185253923,0.5594760925703413
