endpoint,endpoint_column,model_id,model_label,feature_set,n_formulations,n_studies,outer_folds,outcome_iqr,normalized_mae,median_selected_ridge_alpha,mae,rmse,r2,spearman_rho
transfection,transfection_pctile,baseline_mean,Mean baseline,none,119,15,5,0.4454941860465117,0.5004082749074196,,0.22292897712081994,0.2605244423358281,-0.006967297313229537,-0.08298752830503636
transfection,transfection_pctile,ridge_composition,Ridge: composition,composition,119,15,5,0.4454941860465117,0.5037975156388503,100.0,0.22443886416178438,0.2657486683039139,-0.04775709496943348,0.06105988829140754
transfection,transfection_pctile,rf_composition,RF: composition,composition,119,15,5,0.4454941860465117,0.5095409366870802,,0.22699752484678795,0.2708456688001555,-0.08833402419916214,-0.07014997602062192
transfection,transfection_pctile,ridge_descriptors,Ridge: descriptors,descriptors,119,15,5,0.4454941860465117,0.5219646136499485,100.0,0.23253220070306577,0.27325564372156347,-0.10778810491154722,-0.18378843871743636
transfection,transfection_pctile,rf_descriptors,RF: descriptors,descriptors,119,15,5,0.4454941860465117,0.5480238668928977,,0.24414144651551334,0.2874153019125762,-0.2255701897923974,-0.18178714995034373
transfection,transfection_pctile,ridge_combined,Ridge: combined,combined,119,15,5,0.4454941860465117,0.5191744741098298,100.0,0.23128920975968437,0.28303021618622304,-0.18845850448292545,-0.022712532511724847
transfection,transfection_pctile,rf_combined,RF: combined,combined,119,15,5,0.4454941860465117,0.5626688619360569,,0.25066570666192073,0.3001177050050551,-0.33629286660948843,-0.09935218700312337
particle_size,size_mean,baseline_mean,Mean baseline,none,298,28,5,76.5,0.6038029526308631,,46.190925876261026,53.504134186502476,-0.3739843364278612,-0.5944074823582433
particle_size,size_mean,ridge_composition,Ridge: composition,composition,298,28,5,76.5,0.6397685725275417,100.0,48.942295798356945,60.12434637157652,-0.7350333885080094,-0.4099845542959598
particle_size,size_mean,rf_composition,RF: composition,composition,298,28,5,76.5,0.5124441655220372,,39.20197866243584,48.07305872320274,-0.10920191792921119,0.29775921033203623
particle_size,size_mean,ridge_descriptors,Ridge: descriptors,descriptors,298,28,5,76.5,0.5014073139122652,100.0,38.357659514288294,46.77083346386772,-0.04992268383270959,0.419283047271365
particle_size,size_mean,rf_descriptors,RF: descriptors,descriptors,298,28,5,76.5,0.4480385284076267,,34.27494742318344,43.395339006713904,0.09615643284355402,0.44077322269080577
particle_size,size_mean,ridge_combined,Ridge: combined,combined,298,28,5,76.5,0.5195030109363025,100.0,39.74198033662714,49.13279130574881,-0.15864389060204376,0.3870350128647614
particle_size,size_mean,rf_combined,RF: combined,combined,298,28,5,76.5,0.4347505744493906,,33.25841894537838,41.95525752253302,0.1551494662176246,0.5307168233253988
pdi,pdi_mean,baseline_mean,Mean baseline,none,270,21,5,0.09574999999999999,0.6502172286971747,,0.06225829964775447,0.07781046412310601,-0.11414791570627769,-0.3253627557741779
pdi,pdi_mean,ridge_composition,Ridge: composition,composition,270,21,5,0.09574999999999999,0.6505299717339941,100.0,0.06228824479352992,0.07834440082177474,-0.1294909809403948,-0.23897646069784437
pdi,pdi_mean,rf_composition,RF: composition,composition,270,21,5,0.09574999999999999,0.6721220136392003,,0.06435568280595343,0.08186059924529478,-0.2331521928550715,-0.016746649008809962
pdi,pdi_mean,ridge_descriptors,Ridge: descriptors,descriptors,270,21,5,0.09574999999999999,0.8055277520651861,100.0,0.07712928226024156,0.09833677026170463,-0.7795029869090355,-0.2681290624693573
pdi,pdi_mean,rf_descriptors,RF: descriptors,descriptors,270,21,5,0.09574999999999999,0.6722423556216734,,0.06436720555077523,0.08383916166318092,-0.2934829086265538,-0.046397310683094606
pdi,pdi_mean,ridge_combined,Ridge: combined,combined,270,21,5,0.09574999999999999,0.8075483839490355,100.0,0.07732275776312014,0.09865275851803557,-0.7909576131858069,-0.2554932006647986
pdi,pdi_mean,rf_combined,RF: combined,combined,270,21,5,0.09574999999999999,0.6604492631639798,,0.06323801694795106,0.08303681070274219,-0.2688437980458003,0.06361826124272164
encapsulation_efficiency,ee_mean,baseline_mean,Mean baseline,none,267,27,5,30.55000000000001,0.5467101605458199,,16.701995404674804,20.05957987252097,-0.18339712991074397,-0.5371725682696601
encapsulation_efficiency,ee_mean,ridge_composition,Ridge: composition,composition,267,27,5,30.55000000000001,0.5366578387289791,10.0,16.39489697317032,20.942062878447942,-0.28981007281056215,-0.3022989032350674
encapsulation_efficiency,ee_mean,rf_composition,RF: composition,composition,267,27,5,30.55000000000001,0.4667807411024268,,14.260151640679144,18.74711561410639,-0.033607760003354636,0.23301509269425533
encapsulation_efficiency,ee_mean,ridge_descriptors,Ridge: descriptors,descriptors,267,27,5,30.55000000000001,0.7448123139287296,30.0,22.754016190522698,28.643285887844108,-1.4128622077495288,-0.21994729229624718
encapsulation_efficiency,ee_mean,rf_descriptors,RF: descriptors,descriptors,267,27,5,30.55000000000001,0.4928849357555815,,15.05763478733302,20.23266486680709,-0.20390722751492252,0.17135355653084897
encapsulation_efficiency,ee_mean,ridge_combined,Ridge: combined,combined,267,27,5,30.55000000000001,0.6332277339167507,100.0,19.345107271156742,24.15772839698026,-0.7163230468861048,-0.21414145941003265
encapsulation_efficiency,ee_mean,rf_combined,RF: combined,combined,267,27,5,30.55000000000001,0.4605507349840487,,14.069824953762692,18.731487030805553,-0.03188513856438946,0.31686108965172854
