feature,display_name,weighted_mean_mae_increase,median_fold_mae_increase,sd_across_folds,folds_positive,total_folds,mean_positive_importance_fraction
logp,LogP,0.44632052242556025,0.273948083437762,0.3862450090407576,4,5,0.7266666666666667
log_peg_to_sterol,PEG/sterol log ratio,0.32820564125499196,-7.105427357601002e-16,0.8352616146709968,2,5,0.42666666666666664
mw,Molecular weight,0.14687118836491758,0.07528588063304084,0.1863666345350913,4,5,0.7866666666666666
num_ester_bonds,Ester bonds,0.11128767422507384,0.08287212337092266,0.12919586067766997,5,5,0.8400000000000001
log_il_to_sterol,Ionizable/sterol log ratio,0.04717573436696756,0.0006009805633330719,0.12837936615299428,4,5,0.4466666666666666
num_unsaturated_bonds,Unsaturated bonds,0.03593096460839982,0.00948030440924157,0.08139466262442929,4,5,0.5066666666666667
tail_length_carbons,Longest carbon-chain length,0.029025148586225215,0.021577832693093768,0.06671180546256955,4,5,0.6666666666666667
num_rings,Rings,0.010273157861650579,8.526512829121202e-15,0.022887117731338034,3,5,0.5666666666666667
num_tertiary_amines,Tertiary amines,-0.00851367786839504,0.018722475989378987,0.038793451391368285,3,5,0.5333333333333333
num_hba,H-bond acceptors,-0.010102823694224118,-0.006912227000840213,0.1398653816939162,2,5,0.42666666666666664
log_helper_to_sterol,Helper/sterol log ratio,-0.014089934304123248,-2.3684757858670006e-16,0.059445913932660466,2,5,0.35333333333333333
num_branch_points,Carbon branch points,-0.014380331859958803,-0.00040590693400469985,0.06521441186995243,2,5,0.4533333333333333
num_hbd,H-bond donors,-0.01558475624925995,0.0017758884721177518,0.022213449920549463,3,5,0.37333333333333335
fraction_csp3,Fraction Csp3,-0.022506436888603785,-0.012950229039269345,0.1518283735990125,2,5,0.35333333333333333
tpsa,TPSA,-0.03216950607083759,0.037597524936024605,0.23895899996102665,3,5,0.45999999999999996
heavy_atom_count,Heavy-atom count,-0.039052818871638945,-0.02709551270671066,0.10840047036005286,2,5,0.49333333333333335
num_rotatable_bonds,Rotatable bonds,-0.07040963958833643,0.01793265086263176,0.20671657774155572,3,5,0.3333333333333333
