paper_doi,paper_title,n_complete_formulations
https://doi.org/10.1038/s41587-019-0247-3,Delivery of mRNA vaccines with heterocyclic lipids increases anti-tumor efficacy by STING-mediated immune cell activation,43
10.1021/jacs.2c12893,Ionizable Lipid Nanoparticles for In Vivo mRNA Delivery to the Placenta during Pregnancy,11
10.1002/jbm.a.37705,Influence of ionizable lipid tail length on lipid nanoparticle delivery of mRNA of varying length,8
10.1002/btm2.10580,Optimization of ionizable lipids for aerosolizable mRNA lipid nanoparticles,8
https://doi.org/10.1016/j.ymthe.2018.03.010,A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,5
https://doi.org/10.1248/cpb.c24-00089,Understanding the Manufacturing Process of Lipid Nanoparticles for mRNA Delivery Using Machine Learning,5
https://dx.doi.org/10.1021/acs.nanolett.0c01386,Deconvoluting Lipid Nanoparticle Structure for Messenger RNA Delivery,5
https://doi.org/10.34133/bmr.0017,Development of Lipid Nanoparticle Formulation for the Repeated Administration of mRNA Therapeutics,5
10.1002/anie.201809056,Customizable Lipid Nanoparticle Materials for the Delivery of siRNAs and mRNAs,4
https://doi.org/10.1016/j.jconrel.2025.01.071,Role of PEGylated lipid in lipid nanoparticle formulation for in vitro and in vivo delivery of mRNA vaccines,4
https://doi.org/10.1038/s41467-020-16248-y,Synergistic lipid compositions for albumin receptor mediated delivery of mRNA to the liver,2
10.1021/acs.nanolett.5b02497,Optimization of Lipid Nanoparticle Formulations for mRNA Delivery in vivo with Fractional Factorial and Definitive Screening Designs,2
10.1126/sciadv.abf4398,Engineered ionizable lipid nanoparticles for targeted delivery of RNA therapeutics into different types of cells in the liver,2
10.1126/sciadv.abc2315,Functionalized lipid-like nanoparticles for in vivo mRNA delivery and base editing,1
