lnp_id,paper_doi,lipid_molar_ratio,ionizable_lipid,helper_lipid,sterol_lipid,peg_lipid,mol_pct_ionizable,mol_pct_helper,mol_pct_sterol,mol_pct_peg,parse_method,parse_confidence
1,https://doi.org/10.1038/s41467-024-50619-z,60:20:19.5:0.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,60.0,20.0,19.5,0.5,doi_lookup,high
2,https://doi.org/10.1038/s41467-024-50619-z,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
3,https://doi.org/10.1038/s41467-024-50619-z,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
4,https://doi.org/10.1038/s41467-024-50619-z,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
5,https://doi.org/10.1038/s41467-024-50619-z,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
6,https://doi.org/10.1038/s41467-024-50619-z,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
7,https://doi.org/10.1038/s41467-024-50619-z,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
8,https://doi.org/10.1038/s41467-024-50619-z,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
9,https://doi.org/10.1038/s41467-024-50619-z,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
10,https://doi.org/10.1038/s41467-024-50619-z,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
11,https://doi.org/10.1038/s41467-024-50619-z,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
12,https://doi.org/10.1038/s41467-024-50619-z,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
13,https://doi.org/10.1038/s41467-024-50619-z,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
14,https://doi.org/10.1038/s41467-024-50619-z,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
15,https://doi.org/10.1038/s41467-024-50619-z,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
16,https://doi.org/10.1038/s41467-024-50619-z,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
17,https://doi.org/10.1038/s41467-024-50619-z,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
18,https://doi.org/10.1038/s41467-024-50619-z,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
19,https://doi.org/10.1038/s41467-024-50619-z,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
20,https://doi.org/10.1038/s41467-024-50619-z,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
21,https://doi.org/10.1038/s41467-024-50619-z,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
22,https://doi.org/10.1038/s41467-024-50619-z,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
23,https://doi.org/10.1038/s41467-024-50619-z,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
24,https://doi.org/10.1038/s41467-024-50619-z,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
25,https://doi.org/10.1038/s41467-024-50619-z,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
26,https://doi.org/10.1038/s41467-024-50619-z,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
27,https://doi.org/10.1038/s41467-024-50619-z,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
28,https://doi.org/10.1038/s41467-024-50619-z,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
29,https://doi.org/10.1038/s41467-024-50619-z,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
30,https://doi.org/10.1038/s41467-024-50619-z,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
31,https://doi.org/10.1038/s41467-024-50619-z,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
32,https://doi.org/10.1038/s41467-024-50619-z,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
33,https://doi.org/10.1038/s41467-024-50619-z,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
51,10.1126/sciadv.abf4398,26.5:1.5:52:20,Custom lipid,DOPE,cholesterol,C16-Ceramide-PEG2000,,,,,ambiguous_doi,excluded
52,10.1126/sciadv.abf4398,26.5:1.5:52:20,Custom lipid,DOPE,cholesterol,C16-Ceramide-PEG2000,,,,,ambiguous_doi,excluded
53,10.1126/sciadv.abf4398,26.5:1.5:52:20,246C10,DOPE,cholesterol,C16-Ceramide-PEG2000,,,,,ambiguous_doi,excluded
