feature,pd_median,pd_n,po_median,po_n,median_diff_pd_minus_po,p_value,sig_uncorrected,sig_bonferroni
num_rings,0.0,13,2.0,31,-2.0,1e-06,True,True
num_branch_points,3.0,13,3.0,31,0.0,0.000154,True,True
num_tertiary_amines,1.0,13,2.0,31,-1.0,0.000829,True,True
heavy_atom_count,50.0,13,52.0,31,-2.0,0.002476,True,False
mw,710.182,13,726.232,31,-16.05,0.003836,True,False
num_ester_bonds,2.0,13,1.0,31,1.0,0.045368,True,False
log_helper_to_sterol,-1.067,19,-1.067,39,0.0,0.107105,False,False
log_peg_to_sterol,-3.245,19,-2.923,39,-0.322,0.13552,False,False
num_hbd,0.0,13,0.0,31,0.0,0.171507,False,False
mol_pct_helper,16.0,19,16.0,39,0.0,0.247248,False,False
mol_pct_peg,1.5,19,2.5,39,-1.0,0.303779,False,False
num_unsaturated_bonds,5.0,13,4.0,31,1.0,0.398073,False,False
logp,13.647,13,13.562,31,0.086,0.408749,False,False
tail_length_carbons,11.0,13,35.0,31,-24.0,0.416414,False,False
fraction_csp3,0.85,13,0.872,31,-0.022,0.440674,False,False
mol_pct_ionizable,45.0,19,35.0,39,10.0,0.450721,False,False
num_rotatable_bonds,41.0,13,36.0,31,5.0,0.600838,False,False
num_hba,6.0,13,5.0,31,1.0,0.627316,False,False
mol_pct_sterol,38.5,19,42.7,39,-4.2,0.73931,False,False
tpsa,76.07,13,45.14,31,30.93,0.804181,False,False
log_il_to_sterol,0.261,19,-0.069,39,0.33,0.817807,False,False
