paper_doi,n_complete,n_potent,n_potent_failing,n_potent_and_developable,pct_potent_failing
https://doi.org/10.1038/s41587-019-0247-3,43,22,22,0,100.0
10.1021/jacs.2c12893,11,10,4,6,40.0
10.1002/jbm.a.37705,8,4,4,0,100.0
10.1002/btm2.10580,8,3,0,3,0.0
https://doi.org/10.1016/j.ymthe.2018.03.010,5,4,0,4,0.0
https://doi.org/10.1248/cpb.c24-00089,5,3,3,0,100.0
https://doi.org/10.34133/bmr.0017,5,3,0,3,0.0
https://dx.doi.org/10.1021/acs.nanolett.0c01386,5,3,0,3,0.0
10.1002/anie.201809056,4,2,2,0,100.0
https://doi.org/10.1016/j.jconrel.2025.01.071,4,2,2,0,100.0
10.1021/acs.nanolett.5b02497,2,1,1,0,100.0
10.1126/sciadv.abf4398,2,1,0,1,0.0
https://doi.org/10.1038/s41467-020-16248-y,2,1,1,0,100.0
10.1126/sciadv.abc2315,1,1,0,1,0.0
